Ticker,Stock Price,Market Capitalization,Number of Stiocks to Buy
A,126.86,37471376271,N/A
AAL,15.65,10225122123,N/A
AAP,72.28,4296601623,N/A
AAPL,177.79,2779610107280,N/A
ABBV,152.18,268604803762,N/A
ABC,187.37,37881502769,N/A
ABMD,381.02,17180642928,N/A
ABT,105.31,182750548874,N/A
ACN,309.05,205305540775,N/A
ADBE,508.45,231751510000,N/A
ADI,183.21,91864847476,N/A
ADM,84.82,45472141359,N/A
ADP,252.82,104158520473,N/A
ADSK,207.96,44446546095,N/A
AEE,80.91,21259064877,N/A
AEP,81.11,41785928929,N/A
AES,19.46,13030981021,N/A
AFL,76.45,45416076443,N/A
AIG,60.53,43091284241,N/A
AIV,8.28,1224751800,N/A
AIZ,143.15,7590197644,N/A
AJG,224.37,48353081220,N/A
AKAM,104.34,15829765409,N/A
ALB,187.49,22001346845,N/A
ALGN,352.88,27007213468,N/A
ALK,46.08,5862502057,N/A
ALL,109.04,28522002136,N/A
ALLE,111.41,9779571583,N/A
ALXN,182.5,40336009475,N/A
AMAT,138.83,117033690000,N/A
AMCR,9.69,14258290432,N/A
AMD,107.57,173797770347,N/A
AME,158.22,36465783612,N/A
AMGN,262.51,140416909024,N/A
AMP,344.43,35347508656,N/A
AMT,187.11,87222359534,N/A
AMZN,138.45,1420546011300,N/A
ANET,174.94,54158038911,N/A
ANSS,301.21,26142339098,N/A
ANTM,482.58,116342693132,N/A
AON,320.8,65079667194,N/A
AOS,71.36,10902061607,N/A
APA,44.88,13790071332,N/A
APD,288.79,64154340689,N/A
APH,87.21,52016749416,N/A
APTV,98.7,27914756930,N/A
ARE,122.12,21130205738,N/A
ATO,117.46,17438403018,N/A
ATVI,91.21,71763874767,N/A
AVB,187.28,26596673702,N/A
AVGO,829.76,342429841653,N/A
AVY,184.96,14904601347,N/A
AWK,140.2,27292543468,N/A
AXP,165.27,121714557775,N/A
AZO,2483.83,45096340481,N/A
BA,235.72,141807621470,N/A
BAC,31.29,248641972308,N/A
BAX,43.24,21896944719,N/A
BBY,79.29,17301913320,N/A
BDX,282.31,81900551526,N/A
BEN,27.91,13926470956,N/A
BF.B,70.3,33939665639,N/A
BIIB,273.68,39635250323,N/A
BIO,397.12,11498210097,N/A
BK,46.01,35831781353,N/A
BKNG,3206.23,114437261332,N/A
BKR,35.48,35822521933,N/A
BLK,695.61,103856404541,N/A
BLL,69.49,22222129619,N/A
BMY,61.23,127915771853,N/A
BR,181.9,21485457198,N/A
BRK.B,358.35,776752386171,N/A
BSX,51.03,74719313111,N/A
BWA,40.76,9581168695,N/A
BXP,68.12,10685613078,N/A
C,44.57,86766729375,N/A
CAG,31.28,14921272652,N/A
CAH,92.38,23519964813,N/A
CARR,55.54,46521855010,N/A
CAT,285.22,145490722000,N/A
CB,201.77,82873995300,N/A
CBOE,150.25,15853907464,N/A
CBRE,84.53,26190613832,N/A
CCI,104.41,45280376779,N/A
CCL,16.79,18792468417,N/A
CDNS,226.07,61443565300,N/A
CDW,203.48,27276057128,N/A
CE,126.0,13715380476,N/A
CERN,94.92,27915791082,N/A
CF,79.89,15414585362,N/A
CFG,30.71,14504161331,N/A
CHD,95.99,23618051530,N/A
CHRW,95.23,11087758794,N/A
CHTR,427.94,64050182492,N/A
CI,289.51,85689208884,N/A
CINF,107.56,16871448785,N/A
CL,76.9,63572578580,N/A
CLX,160.99,19934746613,N/A
CMA,52.12,6868192379,N/A
CMCSA,46.03,189445143910,N/A
CME,205.77,74015469000,N/A
CMG,1846.55,50941906785,N/A
CMI,238.72,33814002635,N/A
CMS,57.76,16850132575,N/A
CNC,65.76,35607669759,N/A
CNP,28.95,18272779377,N/A
COF,110.38,42103507141,N/A
COG,22.25,8892528027,N/A
COO,374.49,18540222459,N/A
COP,117.81,141076376186,N/A
COST,562.96,249447576000,N/A
COTY,11.72,9994778637,N/A
CPB,44.05,13130947975,N/A
CPRT,87.85,41939590000,N/A
CRM,208.7,203273800000,N/A
CSCO,53.79,219197378157,N/A
CSX,30.75,61694649253,N/A
CTAS,490.01,49854383776,N/A
CTL,11.0,12072940000,N/A
CTSH,70.08,35393300751,N/A
CTVA,52.41,37198731240,N/A
CTXS,103.9,13183359916,N/A
CVS,74.87,96162950734,N/A
CVX,164.15,306508302535,N/A
CXO,65.6,12877584384,N/A
D,49.59,41495568756,N/A
DAL,44.17,28419861400,N/A
DD,76.32,35035536817,N/A
